Customer Remarks,category,cleaned_remarks,category_encoded
The assistant is too peaceful and polite ??,Returns,the assistant is too peaceful and polite,10
Only improve delevery time when product out off delevery also every time customer agent number not attending call or out off reach.,Order Related,only improve delevery time when product out off delevery also every time customer agent number not attending call or out off reach,5
I am a busy guy and I don't like nagging on about my problems I just hope my problem is resolved quickly. The customer support agent was a great guy and I definitely feel much more hopeful about resolving my issue now,Returns,i am a busy guy and i dont like nagging on about my problems i just hope my problem is resolved quickly the customer support agent was a great guy and i definitely feel much more hopeful about resolving my issue now,10
Nice portion ,Order Related,nice portion,5
"DELIVERY IS VERY DELAY , REST ALL OK",Order Related,delivery is very delay rest all ok,5
Good,Refund Related,good,9
Your voice awesome ?? ,Product Queries,your voice awesome,8
Poor sarvice,Cancellation,poor sarvice,1
Shopzilla Delivry are so late.,Order Related,shopzilla delivry are so late,5
Give regional language like telugu ,Returns,give regional language like telugu,10
I will not buy any product from Shopzilla again because I'd ordered a product 2 times which I had to return everytime and after that I have to take refund for the product Shopzilla sucks but the customer support is good,Order Related,i will not buy any product from shopzilla again because id ordered a product 2 times which i had to return everytime and after that i have to take refund for the product shopzilla sucks but the customer support is good,5
Very good,Returns,very good,10
I have faced worst experience of purchase. From I ll not buy from Shopzilla. ,Order Related,i have faced worst experience of purchase from i ll not buy from shopzilla,5
Right ?? best supported,Returns,right best supported,10
I has to open Google and many other options just to connect with a human. It would be good if the instructions or no are readily available ,Returns,i has to open google and many other options just to connect with a human it would be good if the instructions or no are readily available,10
Solve my concern ,Product Queries,solve my concern,8
Thankyou for solving my problem ,Shopzilla Related,thankyou for solving my problem,11
complete satisfaction ,Cancellation,complete satisfaction,1
Nice ??,Returns,nice,10
Good person ,Order Related,good person,5
No,Payments related,no,7
Resolved the problem very soon as possible as ,Shopzilla Related,resolved the problem very soon as possible as,11
Please call me ,Shopzilla Related,please call me,11
Verify Wrong Seller,Returns,verify wrong seller,10
Bahut badhiya ,Order Related,bahut badhiya,5
Excellent explaining madam super?? 10/10 rating,Order Related,excellent explaining madam super 1010 rating,5
thanks for the help,Returns,thanks for the help,10
Then agent was good in a communication ,Order Related,then agent was good in a communication,5
Helpful,Returns,helpful,10
Good ,Returns,good,10
Mt sister ordered rakhi for me but due to your worst service i haven't received the order ,Order Related,mt sister ordered rakhi for me but due to your worst service i havent received the order,5
Very bad policy ,Returns,very bad policy,10
Don't disappoint customer from frod sellers,Returns,dont disappoint customer from frod sellers,10
My issue not yet resolved and our customer service are advising me to contact the brand for resolution . Which is a senseless thing . How can a product will be damaged within 2 days of purchase from your Shopzilla . Meaning your are selling fake products to customers and robbing customers and promoting yourself as a  \u2019s number one E-commerce site .if your are not able to resolve customer issues then shut  everything. Don\u2019t blame customers for your hell  mistakes. ,Returns,my issue not yet resolved and our customer service are advising me to contact the brand for resolution which is a senseless thing how can a product will be damaged within 2 days of purchase from your shopzilla meaning your are selling fake products to customers and robbing customers and promoting yourself as a u2019s number one ecommerce site if your are not able to resolve customer issues then shut everything donu2019t blame customers for your hell mistakes,10
Chutiya h ye,Order Related,chutiya h ye,5
Behaviour of Customer exicutive manager is very good.,Order Related,behaviour of customer exicutive manager is very good,5
Very good girls ??,Order Related,very good girls,5
very nice,Returns,very nice,10
Helpline service best ,Shopzilla Related,helpline service best,11
Very very good,Returns,very very good,10
If order is cancel then send interest amount of order also,Order Related,if order is cancel then send interest amount of order also,5
Very good ,Order Related,very good,5
Ch,Refund Related,ch,9
5,Returns,5,10
Great ,Shopzilla Related,great,11
Customer service executive should be technical sound.,Returns,customer service executive should be technical sound,10
Good understanding and resolved issue with requirements.,Returns,good understanding and resolved issue with requirements,10
Thanks ????????,Product Queries,thanks,8
I hope product will be delivered as suggested. Thanks.,Order Related,i hope product will be delivered as suggested thanks,5
No problem ,Order Related,no problem,5
Good ????,Refund Related,good,9
I want clear the policy ,Order Related,i want clear the policy,5
Other language not available to speak ,Order Related,other language not available to speak,5
Proper service ,Order Related,proper service,5
"If you are unable to resolve the issue, why you call me? It's been a long time, about one month and issue has been not resolved yer. Customer care executive are unable to resolve my issue. They are only making excuses. Please don't call me in future.",Order Related,if you are unable to resolve the issue why you call me its been a long time about one month and issue has been not resolved yer customer care executive are unable to resolve my issue they are only making excuses please dont call me in future,5
Not at all,Order Related,not at all,5
Umair Sir is OP??????,Returns,umair sir is op,10
Upgrade the product otherwise all good ????,Order Related,upgrade the product otherwise all good,5
Nice service ,Payments related,nice service,7
Good ????,Returns,good,10
Pls help customers when ever they need...,Returns,pls help customers when ever they need,10
I am not interested for this customer care call my problem is not solved and cracked conversation poor Quality for your customer calling experience ,Returns,i am not interested for this customer care call my problem is not solved and cracked conversation poor quality for your customer calling experience,10
Good ,Returns,good,10
Very bad service,Order Related,very bad service,5
No,Product Queries,no,8
The experience was very good. And the customer support executive was also very helpful.,Returns,the experience was very good and the customer support executive was also very helpful,10
Bahut acche se baat kiye   bhi ki,Returns,bahut acche se baat kiye bhi ki,10
Normal ok ,Returns,normal ok,10
Issue resolution process as soon as ,Returns,issue resolution process as soon as,10
Good ,Returns,good,10
J,Returns,j,10
Good communication skills ,Returns,good communication skills,10
"Sangeeta was good, I hope yo get my product before the preferred date:)",Order Related,sangeeta was good i hope yo get my product before the preferred date,5
Meri problem   easily handle Kiya ..  issue solve ho gya...Thanks??,Product Queries,meri problem easily handle kiya issue solve ho gyathanks,8
mast,Order Related,mast,5
Delivery on perfect date,Order Related,delivery on perfect date,5
Good ????,Payments related,good,7
Dealing with Shopzilla not pleasing ,Order Related,dealing with shopzilla not pleasing,5
My refund related,Refund Related,my refund related,9
On time delivery with office time like 9am to 6pm,Order Related,on time delivery with office time like 9am to 6pm,5
Thanks customers care,Returns,thanks customers care,10
Be clear in the calls,Returns,be clear in the calls,10
Good,Returns,good,10
Quickly resolve the problem,Returns,quickly resolve the problem,10
Excellent ,Returns,excellent,10
Mera kismis 1kg ke jagah par 500gm  ,Returns,mera kismis 1kg ke jagah par 500gm,10
Shopzilla  customers care se baat krne per feel hua,Returns,shopzilla customers care se baat krne per feel hua,10
Stick to the language preferred.,Returns,stick to the language preferred,10
My call got disconnected abruptly by the customer care executive.,Returns,my call got disconnected abruptly by the customer care executive,10
Overall good experience ,Returns,overall good experience,10
Need Replacement as I got a defective unit,Returns,need replacement as i got a defective unit,10
Best touking ,Returns,best touking,10
Nice person ,Shopzilla Related,nice person,11
none. it is good support team,Order Related,none it is good support team,5
Excellent support ,Shopzilla Related,excellent support,11
Good ,Returns,good,10
well mannered & good communication skill.,Feedback,well mannered good communication skill,2
Nice ?? service ,Order Related,nice service,5
Good support customer on Shopzilla ,Product Queries,good support customer on shopzilla,8
Normally and simply solution,Shopzilla Related,normally and simply solution,11
Hhj,Shopzilla Related,hhj,11
EXCELLENT ,Shopzilla Related,excellent,11
Very Good And Impressive Customer Service ,Returns,very good and impressive customer service,10
Good ,Shopzilla Related,good,11
I happy...solved my problem,Shopzilla Related,i happysolved my problem,11
Nice,Payments related,nice,7
Nope,Returns,nope,10
Very disappointed with services of Shopzilla.,Returns,very disappointed with services of shopzilla,10
I am very disappointed by Shopzilla.,Shopzilla Related,i am very disappointed by shopzilla,11
Good job ??,Payments related,good job,7
Good ,Product Queries,good,8
5,Order Related,5,5
Very nice to talk your customer officer he deal very smooth and solve my issue ,Order Related,very nice to talk your customer officer he deal very smooth and solve my issue,5
thank you so much Shopzilla,Order Related,thank you so much shopzilla,5
Thanks atleast he mentioned for my issue.,Feedback,thanks atleast he mentioned for my issue,2
Unsolved problems ,Payments related,unsolved problems,7
  service ,Refund Related,service,9
Good,Order Related,good,5
Thank you,Order Related,thank you,5
The Customer service representative assured me that the services will be enabled quickly so i am partially satisfied. I will be fully satisfied once the service is enabled as it jas been almost 6 months since the service has been blockedSo i once again via this feedback form request the concern team to restore my pay later servicesRegardsKhameshwar,Shopzilla Related,the customer service representative assured me that the services will be enabled quickly so i am partially satisfied i will be fully satisfied once the service is enabled as it jas been almost 6 months since the service has been blockedso i once again via this feedback form request the concern team to restore my pay later servicesregardskhameshwar,11
Good,Returns,good,10
"Pleasent,calm,talktive problem understanding",Product Queries,pleasentcalmtalktive problem understanding,8
I want help,Refund Related,i want help,9
Good Knowledge ,Returns,good knowledge,10
Good toking and good langveg thanks ???????? bossssss ,Feedback,good toking and good langveg thanks bossssss,2
The worst ever service i have ever seen. The agents only do sympathize to customers and provide no resolution. All they do is following the script. They are a stain on the name of service. They only know to read the script. They put their notes and forget the rest. Such a shame on your agents. ,Order Related,the worst ever service i have ever seen the agents only do sympathize to customers and provide no resolution all they do is following the script they are a stain on the name of service they only know to read the script they put their notes and forget the rest such a shame on your agents,5
Take feedback over phone,Returns,take feedback over phone,10
Thanku sir ,Returns,thanku sir,10
Good ,Shopzilla Related,good,11
Thanks,Returns,thanks,10
Thanks ,Refund Related,thanks,9
Thanks ,Order Related,thanks,5
Good ,Order Related,good,5
Very good support mam,Returns,very good support mam,10
Best voice ,Order Related,best voice,5
Very nycc Shopzilla ,Order Related,very nycc shopzilla,5
Good ,Shopzilla Related,good,11
No thanks ,Returns,no thanks,10
6 Times request repeated.,Returns,6 times request repeated,10
Good ,Order Related,good,5
very good,Order Related,very good,5
Who ever was on a call with me that guy was perfectly perfect for his job... Thnq so much for all the information ??,Order Related,who ever was on a call with me that guy was perfectly perfect for his job thnq so much for all the information,5
Black list those sellers who are supplying bad quality or wrong products ,Returns,black list those sellers who are supplying bad quality or wrong products,10
Good service ,Returns,good service,10
This issue was related to balance in gift card wallet which got expired. Humbly request Shopzilla management to extend the   of such balances if the customer is unable to use the balance amount within said   and the amount should be free of any expiration/ validity period as this is customers own money which he/she used to shop initially on Shopzilla and got refunded subsequently.,Payments related,this issue was related to balance in gift card wallet which got expired humbly request shopzilla management to extend the of such balances if the customer is unable to use the balance amount within said and the amount should be free of any expiration validity period as this is customers own money which heshe used to shop initially on shopzilla and got refunded subsequently,7
Good service ,Refund Related,good service,9
fraud,Shopzilla Related,fraud,11
Good ,Payments related,good,7
No,Returns,no,10
Good ??,Returns,good,10
Bahut acha bat huaa ,Returns,bahut acha bat huaa,10
Very bed,Returns,very bed,10
"I clearly said that delivery guy just disconnected my call and if she can help me by coordinating him to bring that parcel by 4 as i m not home after that, i called delivery guy in the morning and he said i will deliver by 2 PM but now its 4 , ",Order Related,i clearly said that delivery guy just disconnected my call and if she can help me by coordinating him to bring that parcel by 4 as i m not home after that i called delivery guy in the morning and he said i will deliver by 2 pm but now its 4,5
Thanks ,Shopzilla Related,thanks,11
Good ,Returns,good,10
First u can shove my problem than I will give you review ,Returns,first u can shove my problem than i will give you review,10
My issue not resolved ,Refund Related,my issue not resolved,9
No,Returns,no,10
Not sartifide,Order Related,not sartifide,5
U,Order Related,u,5
Calling recived but not speaking ,Returns,calling recived but not speaking,10
Good,Returns,good,10
Good,Returns,good,10
Good customer support ,Payments related,good customer support,7
Start no return product to get return,Returns,start no return product to get return,10
Nice support,Refund Related,nice support,9
Excellent,Order Related,excellent,5
To Return my product is worst experience I'm facing right now.resolve it as soon as possible.,Returns,to return my product is worst experience im facing right nowresolve it as soon as possible,10
Language support need for Other no one available waiting for long,Returns,language support need for other no one available waiting for long,10
good services Shopzilla,Payments related,good services shopzilla,7
Shopzilla customer care fully helpfull,Returns,shopzilla customer care fully helpfull,10
No,Returns,no,10
Your customer service is good feedback  ,Order Related,your customer service is good feedback,5
I received totally different product. Customer care officer Directly said product has no return policy..I cant do anything.. it means I did a mistake that i used Shopzilla..,Returns,i received totally different product customer care officer directly said product has no return policyi cant do anything it means i did a mistake that i used shopzilla,10
Service is excellent ,Returns,service is excellent,10
This my,Order Related,this my,5
Product value is on SuperBuy same product 70gram 73 rupees but u people had charged me 195 rupees this is completely unacceptable and I want to return this product ,Returns,product value is on superbuy same product 70gram 73 rupees but u people had charged me 195 rupees this is completely unacceptable and i want to return this product,10
Please improve in delivery time to time and faster,Returns,please improve in delivery time to time and faster,10
Very nice and lovely talk miss 5??,Shopzilla Related,very nice and lovely talk miss 5,11
The call suddenly got muted during the conversation but I was on the Line. Customer Support Executive didn't call again after hangup,Order Related,the call suddenly got muted during the conversation but i was on the line customer support executive didnt call again after hangup,5
no suggestions,Returns,no suggestions,10
I am satisfied with conversation,Returns,i am satisfied with conversation,10
Very good,Shopzilla Related,very good,11
Please add more languages to intaract with people's that can help more to improve ,Returns,please add more languages to intaract with peoples that can help more to improve,10
Super ,Returns,super,10
I am so happy with customer service ??,Returns,i am so happy with customer service,10
????,Returns,,10
Haahuehehs,Returns,haahuehehs,10
"I am not very satisfied with the service of Shopzilla, I am very angry, so tell today's date and tell 28th delivery this is a scame ??",Order Related,i am not very satisfied with the service of shopzilla i am very angry so tell todays date and tell 28th delivery this is a scame,5
Very good ,Returns,very good,10
Correct information should be given to the consumer Do not give wrong information about any product Reno 7 5G mobile should not be written   7 mobile Reno 7 5G mobile is the same,Returns,correct information should be given to the consumer do not give wrong information about any product reno 7 5g mobile should not be written 7 mobile reno 7 5g mobile is the same,10
"I already contacted two more executives before this gem. None of them was able to understand my issue with the product. Both were women. One of them was suggesting me what exactly I need to do in case of OBD. It is showing on my interface. But not on theirs. There are a lot of things to mention regarding your service & interaction with those two executives. But due to the right time, I can't. But this guy's efforts that he put to resolve my issue with his best knowledg is  :) once again thank you...brother! Keep it up with this manner & in a polite way. You will shine like a STAR! Have a nice day! ",Order Related,i already contacted two more executives before this gem none of them was able to understand my issue with the product both were women one of them was suggesting me what exactly i need to do in case of obd it is showing on my interface but not on theirs there are a lot of things to mention regarding your service interaction with those two executives but due to the right time i cant but this guys efforts that he put to resolve my issue with his best knowledg is once again thank youbrother keep it up with this manner in a polite way you will shine like a star have a nice day,5
Good job,Refund Related,good job,9
Delivery boy So Bad behave,Order Related,delivery boy so bad behave,5
Good ,Order Related,good,5
  improve everything about your customer service everything that needed is missing and no words to explain my worst experience ,Returns,improve everything about your customer service everything that needed is missing and no words to explain my worst experience,10
Great experience everytime from Shopzilla customer care ,Returns,great experience everytime from shopzilla customer care,10
Need to re-think in future purchase from Shopzilla ,Returns,need to rethink in future purchase from shopzilla,10
Unable to connect with your service...you should make some easy method method to reach out ,Shopzilla Related,unable to connect with your serviceyou should make some easy method method to reach out,11
Consultant can't understand my problem ?,Returns,consultant cant understand my problem,10
VG,Returns,vg,10
Fab,Returns,fab,10
4,Returns,4,10
"No response or resolution to my problem since past 5 days , everyday I\u2019m calling so that my kurta can be returned but as usual only wait wait is being said instead of any proper action to get the outcome ??",Order Related,no response or resolution to my problem since past 5 days everyday iu2019m calling so that my kurta can be returned but as usual only wait wait is being said instead of any proper action to get the outcome,5
Reschedule order could be better....,Order Related,reschedule order could be better,5
GOOD SERVICE ,Product Queries,good service,8
Foip  should choose the sellers carefully. The seller sent one fan and mentioned the quantity as four. This is not expected. ,Product Queries,foip should choose the sellers carefully the seller sent one fan and mentioned the quantity as four this is not expected,8
I am doing to and fro between Shopzilla and IDFC first to resolve a simple issue with Shopzilla pay later plus EMI,Payments related,i am doing to and fro between shopzilla and idfc first to resolve a simple issue with shopzilla pay later plus emi,7
Thank you Shopzilla very very thanks for your support ,Order Related,thank you shopzilla very very thanks for your support,5
V good,Order Related,v good,5
  knowledge ,Order Related,knowledge,5
Kind nature and handle very sencierly,Refund Related,kind nature and handle very sencierly,9
Shopzilla is a big brand.Inspite of a big brand I am not satisfied with customer care.I hope it will works fine in future.,Returns,shopzilla is a big brandinspite of a big brand i am not satisfied with customer carei hope it will works fine in future,10
Bluetooth damaged,Order Related,bluetooth damaged,5
Good Job ??,Returns,good job,10
Whatever may be ta service..if u want resolve costumers problem then all are waste...similiary please solve my problems and do the necessary action against the delivery agent,Feedback,whatever may be ta serviceif u want resolve costumers problem then all are wastesimiliary please solve my problems and do the necessary action against the delivery agent,2
Looking forward to get resolved soon,Shopzilla Related,looking forward to get resolved soon,11
Thank you ??,Order Related,thank you,5
Return my money ,Returns,return my money,10
I'm happy ??,Payments related,im happy,7
5,Product Queries,5,8
"My issue is still not resolved and it was marked as resolved, please re-open the ticket",Order Related,my issue is still not resolved and it was marked as resolved please reopen the ticket,5
Worst product and make sure that supply chain work properly. Delivery guys are giving cal to pick the product and they are not coming to pick in actual. Bad in resolving issues. Very late in responding to customer. Built your competence to compete in this world,Returns,worst product and make sure that supply chain work properly delivery guys are giving cal to pick the product and they are not coming to pick in actual bad in resolving issues very late in responding to customer built your competence to compete in this world,10
Thank-you,Refund Related,thankyou,9
They are telling that contact to company service executive to repair where i have the return policy ,Order Related,they are telling that contact to company service executive to repair where i have the return policy,5
Very good ,Returns,very good,10
Nothing ,Returns,nothing,10
Good,Returns,good,10
Create a section of Missing/Undeliverable items section on the Chatbot ,Returns,create a section of missingundeliverable items section on the chatbot,10
Good ,Returns,good,10
Very bad mera order defective delivery kiya hai or castumer care   likhayi hai ab bol rhe hai ki   aap ne nhi likhaya hai or aap ki policy   gyi hai ham khuch nhi kr sakte same on you Shopzilla ,Returns,very bad mera order defective delivery kiya hai or castumer care likhayi hai ab bol rhe hai ki aap ne nhi likhaya hai or aap ki policy gyi hai ham khuch nhi kr sakte same on you shopzilla,10
A man is older hearted ,Shopzilla Related,a man is older hearted,11
Thank you ,Returns,thank you,10
??,Order Related,,5
Good communication with me by the Shopzilla customer care personThank you ..... ????,Returns,good communication with me by the shopzilla customer care personthank you,10
Very helpful staff ,Order Related,very helpful staff,5
"Trust the customer, not wish master, address the issue and solve as early as possible, don't make the customer fed-up with Shopzilla ",Returns,trust the customer not wish master address the issue and solve as early as possible dont make the customer fedup with shopzilla,10
Thanks ,Returns,thanks,10
Thankyou for your time and service...??,Refund Related,thankyou for your time and service,9
Give replace option please with return ,Returns,give replace option please with return,10
??,Returns,,10
Good  luck ,Payments related,good luck,7
Good ,Returns,good,10
Good help ,Returns,good help,10
Osm,Payments related,osm,7
The customer support executive behaviour was very polite nd clear .unse bat karke mujhe bhot accha laga .I was very happy. ,Returns,the customer support executive behaviour was very polite nd clear unse bat karke mujhe bhot accha laga i was very happy,10
The executive was calm and understood my problem. He helped me by resolving my issue. ,Order Related,the executive was calm and understood my problem he helped me by resolving my issue,5
"Improve the delivery system, there are too many delays even in a city like Hyderabad.",Order Related,improve the delivery system there are too many delays even in a city like hyderabad,5
Good ,Order Related,good,5
Very poor service. Quality and quantity is not same as shown. ,Returns,very poor service quality and quantity is not same as shown,10
Happy with the customer service guy and service provided by him.,Refund Related,happy with the customer service guy and service provided by him,9
Good manners speech ,Payments related,good manners speech,7
I want my order to be returned or replaced..i have expired product ,Returns,i want my order to be returned or replacedi have expired product,10
Executive was very helpful but seller policy made my past few days very difficult. Disappointed by seller but happy the way executive handled this case.,Returns,executive was very helpful but seller policy made my past few days very difficult disappointed by seller but happy the way executive handled this case,10
CUSTOMER CARE number should be displayed on website directly or at least on products ordered so we can connect directly and solve issue. Thanks,Returns,customer care number should be displayed on website directly or at least on products ordered so we can connect directly and solve issue thanks,10
Try to solve my issue resolved as soon as possible ,Returns,try to solve my issue resolved as soon as possible,10
Thank you ,Payments related,thank you,7
Good ,Returns,good,10
please inform the name of receiver in order info. Because I am giving gift to relatives & sometime forgot to address.,Order Related,please inform the name of receiver in order info because i am giving gift to relatives sometime forgot to address,5
nice ,Returns,nice,10
Very good ..I understood properly..,Returns,very good i understood properly,10
Problem solve ho gaye hai ,Onboarding related,problem solve ho gaye hai,4
??,Returns,,10
Nil,Returns,nil,10
Thnaks ,Returns,thnaks,10
Very nice person ,Order Related,very nice person,5
The person was pretending not to understand my query.I had to explain again and again and am not sure if I will get a solution shown by his attitude. ,Feedback,the person was pretending not to understand my queryi had to explain again and again and am not sure if i will get a solution shown by his attitude,2
Please resovle issue with in sort rime,Returns,please resovle issue with in sort rime,10
"Installation should happen once product is delivered, and I am waiting for a week time. ",Order Related,installation should happen once product is delivered and i am waiting for a week time,5
Cancel ,Returns,cancel,10
Good ,Product Queries,good,8
The costomer care executive is very good in nature and helpful.??????,Returns,the costomer care executive is very good in nature and helpful,10
please make sure same color and shade be delivered . if not available cancel the order instead of different or alternative shade. ladies are very particular about shades,Order Related,please make sure same color and shade be delivered if not available cancel the order instead of different or alternative shade ladies are very particular about shades,5
thanks ?? ,Order Related,thanks,5
Good person,Refund Related,good person,9
Good employee,Returns,good employee,10
Thanks ,Product Queries,thanks,8
Very good ,Returns,very good,10
Good ??,Product Queries,good,8
Good ,Returns,good,10
Dealing good,Cancellation,dealing good,1
Good ,Payments related,good,7
Thank ,Returns,thank,10
Nothing,Payments related,nothing,7
Nice talk to customers support. ,Order Related,nice talk to customers support,5
Very bad service,Returns,very bad service,10
Support team holds up my call for 3 minutes which is really pathetic ,Order Related,support team holds up my call for 3 minutes which is really pathetic,5
Full of nin compoops and new trainees without any knowledge ,Shopzilla Related,full of nin compoops and new trainees without any knowledge,11
Nice ,Feedback,nice,2
Very helpful and understanding ,Order Related,very helpful and understanding,5
Very good ,Returns,very good,10
Good voice ,Refund Related,good voice,9
Good ,Order Related,good,5
Good ,Returns,good,10
"Your rep kept saying I understand your concern but cannot do anything bcz I have chosen a product which has no return policy.I kept asking if I order cheese and u deliver chalk will policy still apply.i asked him to raise complaint but Siraj said he don't have option of raising complaint and second rep said she will connect my call to senior,kept me on hold and then said sorry due to technical reasons call cannot be connected,I should wait for 24-48 hrs",Returns,your rep kept saying i understand your concern but cannot do anything bcz i have chosen a product which has no return policyi kept asking if i order cheese and u deliver chalk will policy still applyi asked him to raise complaint but siraj said he dont have option of raising complaint and second rep said she will connect my call to seniorkept me on hold and then said sorry due to technical reasons call cannot be connectedi should wait for 2448 hrs,10
Ok,Refund Related,ok,9
Good Behavior,Refund Related,good behavior,9
Good telling ??,Order Related,good telling,5
Ek baat bataye ab mere pass product deliver hua h or aap log ab iska solution 27 Aug tk karenge to pick up or bhi aage ke date m hoga ye aapko nahi lagta   le rahe ho.....  mujhe iske badle main koi ek facewash order   to vo main ab kaise karu usme to   time lag jayega   mujhe yahi paise us karne h agle order m facewash   is order k liye maine pay kiya the! ,Returns,ek baat bataye ab mere pass product deliver hua h or aap log ab iska solution 27 aug tk karenge to pick up or bhi aage ke date m hoga ye aapko nahi lagta le rahe ho mujhe iske badle main koi ek facewash order to vo main ab kaise karu usme to time lag jayega mujhe yahi paise us karne h agle order m facewash is order k liye maine pay kiya the,10
Very nice ,Order Related,very nice,5
Good,Feedback,good,2
Pls make easy n comfort policy and give fast delivery service to your costumers ,Returns,pls make easy n comfort policy and give fast delivery service to your costumers,10
Please educate your customer service with good answers.. automated response we are getting on chatting.. they are useless.. just remove your telephonic customer service..,Order Related,please educate your customer service with good answers automated response we are getting on chatting they are useless just remove your telephonic customer service,5
Ok,Order Related,ok,5
Is good,Returns,is good,10
how can we reach Shopzilla logistics? ,Order Related,how can we reach shopzilla logistics,5
Good ,Returns,good,10
Good,Cancellation,good,1
Thank you ,Returns,thank you,10
Please send me mobile bill,Order Related,please send me mobile bill,5
Very good service and immediately solve any query thank you so much for your service and support ??.,Order Related,very good service and immediately solve any query thank you so much for your service and support,5
i am satisfied for our query related communication.,Returns,i am satisfied for our query related communication,10
Should deliver a proper product which will order ,Returns,should deliver a proper product which will order,10
Good ,Returns,good,10
Good job ,Refund Related,good job,9
Best ??,Returns,best,10
Godd,Returns,godd,10
Policy in experience,Shopzilla Related,policy in experience,11
Excellent,Order Related,excellent,5
Done ,Order Related,done,5
Very bad,Returns,very bad,10
Thanku ,Payments related,thanku,7
Please help me about my orde,Returns,please help me about my orde,10
Thanku for help ,Returns,thanku for help,10
Very good ,Payments related,very good,7
Mera 1399 rupees kha ke sone   chutiya company ,Returns,mera 1399 rupees kha ke sone chutiya company,10
As usual Total waste of time and money with Shopzilla. Shopzilla do not care about customer concern and need to make money with policies.   beg on road and Shopzilla beg with their screwed policies.,Returns,as usual total waste of time and money with shopzilla shopzilla do not care about customer concern and need to make money with policies beg on road and shopzilla beg with their screwed policies,10
Rest good,Offers & Cashback,rest good,3
Thank You,Returns,thank you,10
Very good ,Returns,very good,10
"I am very pleased to talk recently with customer care executive,she has solved my problem.",Returns,i am very pleased to talk recently with customer care executiveshe has solved my problem,10
Good understanding the issue and assured to get the issue addressed soon.,Returns,good understanding the issue and assured to get the issue addressed soon,10
Return my feed back ,Returns,return my feed back,10
Very good ,Returns,very good,10
Good but not authorised Shopzilla executive so what's meaning to talk.    Bad.   ,Order Related,good but not authorised shopzilla executive so whats meaning to talk bad,5
Good ,Returns,good,10
Pls change my headphones ,Order Related,pls change my headphones,5
??????????,Product Queries,,8
Good behaviour of Return team ,Returns,good behaviour of return team,10
Feedback ,Returns,feedback,10
All good,Returns,all good,10
Nice job,Returns,nice job,10
Good,Returns,good,10
"Each time i have a issue ur guys hung up on me after placing me on hold, and when I try to reach out to u again, after the call is connected you advisor will mute him self and not reply, This has happened multiple times and same way, So now as I have problems with the recent  mobile I had purchased and no one is helping me out, I will write to your grievances, and your CEO as well, And also go to the consumer forums, I have already recorded the calls and will certainly take this up, as u guys are not taking any responsibility post saleEarlier it was bad now it's worst and pathetic you customer service as well",Order Related,each time i have a issue ur guys hung up on me after placing me on hold and when i try to reach out to u again after the call is connected you advisor will mute him self and not reply this has happened multiple times and same way so now as i have problems with the recent mobile i had purchased and no one is helping me out i will write to your grievances and your ceo as well and also go to the consumer forums i have already recorded the calls and will certainly take this up as u guys are not taking any responsibility post saleearlier it was bad now its worst and pathetic you customer service as well,5
Good talking ,Offers & Cashback,good talking,3
Good behaviour ,Feedback,good behaviour,2
Happy,Returns,happy,10
Good ,Returns,good,10
Good job delivery at time ,Order Related,good job delivery at time,5
Pleasent personality ,Refund Related,pleasent personality,9
Nice,Returns,nice,10
"Costmer support bahut acha he, ",Order Related,costmer support bahut acha he,5
Very bad service Monika ,Payments related,very bad service monika,7
Not ,Product Queries,not,8
Wonderful speech in Hindi language and communication skills very good thanku for communicate me.. customer service officer ,Returns,wonderful speech in hindi language and communication skills very good thanku for communicate me customer service officer,10
Ok,Order Related,ok,5
Very informative and quality very poor service ,Shopzilla Related,very informative and quality very poor service,11
Very good,Returns,very good,10
Nice,Returns,nice,10
Product oder related issue ,Returns,product oder related issue,10
Not right information provided,Returns,not right information provided,10
Excellent service ,Shopzilla Related,excellent service,11
Good,Returns,good,10
Thank you ,Returns,thank you,10
Good information ,Payments related,good information,7
Thanks??,Returns,thanks,10
Nice guided ,Shopzilla Related,nice guided,11
Thank you please provide EMI option of.my pay later accounts and limit to be increase please,Product Queries,thank you please provide emi option ofmy pay later accounts and limit to be increase please,8
Overall thanks,Cancellation,overall thanks,1
Thanks !!,Returns,thanks,10
The audio line is not good. Enhance the call line.,Offers & Cashback,the audio line is not good enhance the call line,3
Best adviser,Shopzilla Related,best adviser,11
Thank you mubeen thank you Shopzilla good work,Shopzilla Related,thank you mubeen thank you shopzilla good work,11
Kindly resolved this problem!! ,Returns,kindly resolved this problem,10
I very happy to talking with you sir ,Returns,i very happy to talking with you sir,10
Nice work ,Returns,nice work,10
My problem is not resolved,Returns,my problem is not resolved,10
Make sure the product is not defective!,Returns,make sure the product is not defective,10
"Instead of starting in Hindi or English, the executive shall ask which language is the customer better with. ",Order Related,instead of starting in hindi or english the executive shall ask which language is the customer better with,5
First thing let be very clear it was not a fault of . It was Shopzilla policy that needs to be changed. It was not my fault that your seller delivered incorrect size of the product. And i have to wait for 20 days + to get the replaced product. And your policy says no return or no refund. What if I use your service and make my policy as no payment. Think about it. ,Product Queries,first thing let be very clear it was not a fault of it was shopzilla policy that needs to be changed it was not my fault that your seller delivered incorrect size of the product and i have to wait for 20 days to get the replaced product and your policy says no return or no refund what if i use your service and make my policy as no payment think about it,8
"Please resolve the issue ASAP, thanks!",Order Related,please resolve the issue asap thanks,5
